,latitude,longitude,country
10,46.7190546579335,9.459717887642416,Switzerland
16,55.60493951660946,124.9186252497191,Russia
23,54.43463977836075,36.36091837481211,Russia
30,46.4669077884451,19.61027161389356,Hungary
38,50.07412766656213,18.8225930819204,Poland
40,42.297219589617,24.92379085803208,Bulgaria
46,51.21399068953726,34.1192187183625,Ukraine
48,65.78097231034039,45.03256738982653,Russia
60,61.31526073847985,13.17819543331686,Sweden
63,45.28486938348586,19.13481545480892,Croatia
65,53.94779354523629,-7.368339320735456,Ireland
67,62.26787275556486,71.57408110450928,Russia
68,52.76738239539897,15.70489912632489,Poland
75,54.1277246435334,50.38180425151062,Russia
77,61.48971356815598,152.2130579558122,Russia
78,52.87308703803595,18.63809217419215,Poland
82,45.44176052619399,27.09637794140569,Romania
93,62.10722963876746,117.6362565563643,Russia
94,51.28653149691419,19.49078377633696,Poland
96,58.75447370325499,68.94844178903203,Russia
101,52.49800048628735,43.17354650613942,Russia
102,53.84231103739958,20.14755769944897,Poland
104,61.29312378162685,48.96903981454742,Russia
119,63.36035031503384,46.536198058214,Russia
121,55.50467763185716,157.633891670723,Russia
124,62.57224852523245,12.57365344907356,Sweden
131,53.27553355774274,108.8362107027012,Russia
133,49.35264405850535,30.56698599795783,Ukraine
140,56.12451276842405,22.52135349989478,Lithuania
143,36.88587342718983,-3.020766480865754,Spain
144,57.72272312520676,66.23323954083003,Russia
145,48.42054516973998,22.28905407174674,Ukraine
149,62.15404846095355,75.19270501062515,Russia
155,51.24246793293264,42.67285777263001,Russia
156,41.39422395509257,25.40197731341325,Bulgaria
160,56.6940439811231,21.26261360723503,Latvia
170,37.79301954231578,14.29836987629693,Italy
176,45.80861041513248,11.67696438392015,Italy
177,42.91345211152024,132.807035842281,Russia
179,40.68550642051072,21.81782166685115,Greece
180,47.92644330272444,22.06537696894104,Hungary
183,56.72669892840507,9.577344033394246,Denmark
185,67.00750782596467,56.92086728143749,Russia
189,54.03679229552542,122.3477466030283,Russia
195,49.77551293860181,17.18817128208723,Czechia
196,57.3088386322924,-5.414668908451501,United Kingdom
200,56.96388666719836,35.01654664998372,Russia
201,51.16969407079701,17.07387449443722,Poland
210,40.78426829402954,22.47121317367077,Greece
211,54.32064575418087,44.38127492198207,Russia
218,43.36302882425709,132.2458525411251,Russia
224,48.24550799525337,17.92272062003336,Slovakia
226,62.47676786160204,149.7320447903963,Russia
229,55.09909558103456,68.18815220282018,Russia
252,46.03472551695461,17.68366970911626,Hungary
260,62.39332598247851,30.74040346116324,Finland
261,50.92458679080011,23.99697079720552,Ukraine
263,47.39232463389433,17.01878440099606,Hungary
274,62.58983503169382,26.33311250534121,Finland
284,59.66119590664446,18.34235109447208,Sweden
294,48.38266651102734,30.35424375356344,Ukraine
295,50.36664778304064,34.34844627499056,Ukraine
307,64.20621107912098,41.57611033834306,Russia
309,47.10350540310296,47.78643424017586,Russia
316,44.84564321571052,23.80968939930927,Romania
320,41.08955894982694,14.38462064444907,Italy
321,45.36263863423216,16.43056325433494,Croatia
323,40.76997635752443,-2.99979439184615,Spain
328,68.69299996637302,30.23367432477679,Russia
329,46.54827447784871,16.72463423429267,Hungary
331,42.03005361217247,25.52485818368277,Bulgaria
342,51.52035946403856,15.50102296716431,Poland
350,63.59887463991791,146.4059083490509,Russia
351,56.6447135611823,10.06071668490403,Denmark
355,53.74138618030479,125.0966284257305,Russia
356,51.4424981834508,142.7480704940741,Russia
361,49.11630970529945,14.6230001735116,Czechia
366,43.71820518244439,23.94570540541086,Bulgaria
371,54.07175035732284,22.48464602660429,Poland
378,51.16585836024929,58.62662118761825,Russia
380,50.044152948721,29.87092205349703,Ukraine
381,42.97877245968884,26.86698145826263,Bulgaria
383,46.04941681349366,20.10731274631372,Serbia
384,60.80665559863996,64.81210738126975,Russia
396,53.42439698227771,20.33490036890464,Poland
398,63.99712282315271,145.4021257033652,Russia
401,54.90389662885917,24.39116713686926,Lithuania
405,61.65067319965245,74.36773634104804,Russia
407,67.48385985865325,27.89402310852904,Finland
408,51.53833404917433,18.9136232486661,Poland
409,45.06734865063362,9.777658923443203,Italy
418,48.7056155656928,15.60456374022398,Austria
421,39.85857830801852,22.17367491724249,Greece
424,66.55117974643726,26.17731873684696,Finland
430,61.74902838513314,54.91590959302474,Russia
431,43.6413678457371,43.84933169081212,Russia
440,61.81284799167521,129.84723860025,Russia
444,47.94294611596704,37.55742188673668,Ukraine
450,68.14580066690372,25.71141716778799,Finland
452,47.89546347168235,18.32008729225382,Slovakia
455,45.51961206155957,18.24522348641842,Croatia
456,69.09894915421755,27.64156534872263,Finland
468,66.58455501919451,25.61667540606156,Finland
473,58.29687612706198,16.49495731880065,Sweden
480,52.50669499567631,111.5361380037034,Russia
493,55.14412548182546,74.57092919098594,Russia
497,45.46221223507095,23.61459853696875,Romania
498,46.67833039798689,25.36483530842072,Romania
499,55.0510171603846,-3.17612856224396,United Kingdom
500,45.3047301999414,22.00679595068313,Romania
501,40.04153416241442,-1.266606202837929,Spain
502,55.9309059278182,23.08364264903969,Lithuania
504,54.54751526418598,113.3704866873809,Russia
505,43.5479883796126,24.94317189819103,Bulgaria
512,42.32076484180337,25.56950809033102,Bulgaria
514,45.93711033958724,20.89595911069443,Romania
515,45.70258498279109,21.28660803222876,Romania
518,50.00694925961301,28.04351563473087,Ukraine
520,62.95626420125442,113.5415822785922,Russia
521,58.69624174383577,13.11293619088184,Sweden
525,55.69370526118635,13.64670369554185,Sweden
530,61.01704546377512,76.61783503708955,Russia
533,62.57931761514521,125.0270893896,Russia
535,57.74731091498858,85.15844368532294,Russia
537,50.27166395945606,21.22495264313837,Poland
542,55.50817232436876,8.791133312259518,Denmark
551,56.257267,27.988765,Latvia
555,56.83394166613952,62.6963216169195,Russia
557,62.93970681105335,152.3838645967966,Russia
570,47.73048397133364,29.52756311003833,Ukraine
572,54.01765135989311,46.22926171069218,Russia
575,53.10566653528633,20.37525262789601,Poland
577,37.92245445599581,14.9578148076341,Italy
585,43.53355539776982,27.29968222680148,Bulgaria
589,50.35040413020391,16.1657320096718,Czechia
590,60.56950979814793,14.80395482656608,Sweden
596,54.18532643079399,-8.21312019460219,Ireland
604,55.90939735678554,90.1212260864298,Russia
611,58.44004967293636,85.13237801530418,Russia
613,51.14924109138457,21.64474583927348,Poland
617,64.1430053037302,23.74237168487276,Finland
623,51.03543263787932,22.09589962607658,Poland
624,50.64769469324861,40.46285548729219,Russia
631,37.68545022602017,-5.238322034423222,Spain
638,40.0972693398336,8.50663985173477,Italy
652,40.95190657666755,-5.969633473942268,Spain
660,63.46968767696246,34.38874395794993,Russia
664,49.09978641930841,34.24779107304767,Ukraine
671,39.69691695796121,-1.168760272016631,Spain
678,61.00001995051717,79.43252854467141,Russia
681,44.53140775026551,9.115003467530642,Italy
685,55.43686003429338,45.97694494285834,Russia
687,68.34629245472354,18.94879579623279,Sweden
689,63.02542290217478,112.4953084907768,Russia
695,49.57142980170677,17.90281159795871,Czechia
697,49.20233814349881,33.943637300675,Ukraine
707,47.72695798406168,29.52680095324662,Ukraine
712,43.61205321089477,25.53894252327794,Bulgaria
717,48.50427882823669,19.81155113644687,Slovakia
723,56.13603611053901,28.00280866417688,Latvia
726,62.91369108574551,152.4141128431821,Russia
732,62.68424395053977,49.58194155658369,Russia
733,52.84569633330285,60.34642491669458,Russia
739,44.96435087838898,46.53106784573588,Russia
752,62.93035379623442,29.19641318947007,Finland
753,49.2402881636526,15.16019968992007,Czechia
756,68.1524952828668,23.09337386088196,Finland
761,44.45951372525558,28.19961856443877,Romania
768,59.53947692425074,14.30018364295675,Sweden
770,56.98357655202443,63.21975511872979,Russia
771,67.96123794113637,21.6068213265223,Sweden
772,47.7342631631243,17.12132555176215,Hungary
774,56.05945435635401,159.0059218813089,Russia
779,53.29789326586275,108.6250890571037,Russia
784,40.86102947757094,20.18884731481101,Albania
785,59.46459398802128,127.0375036728854,Russia
800,52.08710438604268,22.64352049885827,Poland
812,55.98219190464683,21.63299414151371,Lithuania
813,67.44784095512293,22.23217595019242,Sweden
816,48.3458390276888,15.90899768236692,Austria
818,55.98244030410318,25.61044781695422,Lithuania
822,54.8091371210442,-7.827030142687092,Ireland
825,42.88571401448864,20.30481694907376,Montenegro
827,57.16666203039602,41.62859326662971,Russia
831,61.55883324942211,16.21259853176499,Sweden
834,56.10599600926849,23.62365547515465,Lithuania
840,47.44817716476803,12.56180796383558,Austria
846,52.71506773532962,60.20654369235527,Russia
847,57.02670548619439,26.88657791280117,Latvia
857,66.86215067321112,24.46016155629674,Finland
858,60.68067026514053,116.0037533385955,Russia
872,40.75113345535404,-1.713638029298315,Spain
873,58.44064892510383,84.91896884850429,Russia
876,45.61946693120889,45.86261963941092,Russia
877,54.35334877046751,63.16954689253237,Russia
880,45.96629274825711,15.16776502490936,Slovenia
882,45.94290073099911,26.47517424632996,Romania
885,44.33424990675424,26.57116431224506,Romania
889,67.2050591379893,56.43404662054904,Russia
890,46.7591479728415,20.02457803154134,Hungary
892,62.27547681020785,127.4491702790867,Russia
912,49.34968142668287,17.29406953207818,Czechia
913,67.46632581677325,27.15700520909066,Finland
916,51.66251015360376,101.9673115521439,Russia
918,61.0075903438187,50.60357510443707,Russia
921,58.33689725361732,25.78657797615526,Estonia
922,47.59019302863123,18.04516314402564,Hungary
924,63.01384606140266,112.4625250931745,Russia
925,56.76680815661578,52.64059324471092,Russia
945,58.84244490244748,32.22760040785527,Russia
950,64.02893972262612,26.89642932723806,Finland
960,50.18324190512203,116.6474370156135,Russia
961,52.63206641475342,21.25043160442332,Poland
969,58.70768717092433,33.515119577433,Russia
972,66.18407743358765,79.11620131525059,Russia
991,63.09356652705688,124.0020986712721,Russia
1001,58.00988589536812,85.44099938395884,Russia
1024,61.90529313574029,28.07622087386744,Finland
1028,53.8430256770519,120.8931777189013,Russia
1031,64.19174436057122,17.48545826974118,Sweden
1033,58.83773542505632,14.0474098948003,Sweden
1037,51.68754009287966,22.83982728231935,Poland
1040,40.46927364651565,21.23464730907492,Greece
1049,56.9324034048797,75.74452245436696,Russia
